 Message (if any),رسالة (اختياري)
Allocate Payment Request,تخصيص طلب السداد
Allocated,تخصيص
Allocated {0} leave(s) via scheduler on {1} based on the 'Allocate on Day' option set to {2},"تخصيص {0} إجازة (s) عبر Scheduler على {1} استنادًا إلى خيار ""تخصيص في اليوم"" المعين على {2}"
Allocated Amount,المبلغ المخصص
Allocated amount,المبلغ المخصص
Allocated amount cannot be greater than unadjusted amount,لا يمكن أن يكون المبلغ المخصص أكبر من المبلغ غير المعدل
Allocated amount cannot be negative,لا يمكن أن يكون المبلغ المخصص سالبًا
Allocated Entries,الإدخالات المخصصة
Allocated Leaves,الإجازات المخصصة
Allocated To,المخصصة ل
Allocated To:,المخصصة ل:
Allocating Leave,تخصيص الإجازة
Allocating leaves...,تخصيص الإجازات...
Allocation,توزيع
Allocation Expired!,تخصيص انتهت!
Allocations,المخصصات
Allot Points To Assigned Users,تخصيص نقاط للمستخدمين المعينين
Allot Points To Assigned Users,تخصيص نقاط للمستخدمين المعينين
Allotted Qty,الكمية المخصصة
Allow,السماح
Allow Account Creation Against Child Company,السماح بإنشاء حساب ضد شركة تابعة
Allow Additional Discount,السماح بخصم إضافي
Allow Alternative Item,السماح لصنف بديل
Allow Alternative Item must be checked on Item {},يجب تحديد خيار السماح بالعنصر البديل في العنصر {}
Allow API Indexing Access,السماح بالوصول إلى فهرسة API
Allow Appointments,السماح بالمواعيد
Allow approval for creator of the document,السماح بالموافقة على منشئ المستند
Allow Auto Repeat,السماح للتكرار التلقائي
Allow Blank,السماح بالفراغ
Allow Bulk Edit,السماح بتحرير الكل
Allow Bulk Editing,السماح بالتعديل المجمع
Allow cashier to change warehouse in POS,Allow cashier to change warehouse in POS
Allow cashier to change warehouse in POS,Allow cashier to change warehouse in POS
Allow check-out after shift end time (in minutes),السماح بتسجيل المغادرة بعد وقت انتهاء التحول (بالدقائق)
Allow Comments,السماح بالتعليقات
Allow Comments,السماح بالتعليقات
Allow comments,السماح بالتعليقات
Allow Consecutive Login Attempts,السماح لمحاولات تسجيل الدخول المتتالية
Allow Continuous Material Consumption,السماح بالاستهلاك المستمر للمواد
Allow Credit Sale,السماح بالبيع بالآجل
Allow Delete,السماح بالحذف
Allow Delete,السماح بالحذف
Allow delete,السماح بالحذف
Allow document creation via Email,السماح بإنشاء المستندات عبر البريد الإلكتروني
Allow Dropbox Access,السماح بالدخول للدروب بوكس
Allow Editing After Submit,Allow Editing After Submit
Allow Editing After Submit,Allow Editing After Submit
Allow editing after submit,السماح بالتعديل بعد الإرسال
"Allow editing even if the doctype has a workflow set up.

Does nothing if a workflow isn't set up.","السماح بالتعديل حتى لو كان نوع المستند لديه سير عمل مُعد.

لا يفعل شيئًا إذا لم يتم إعداد سير عمل."
Allow Employee Checkin from Mobile App,السماح للموظف بالتحقق من تطبيق الهاتف المحمول
Allow Encashment,السماح بالصرف
Allow events in timeline,السماح للأحداث في المخطط الزمني
Allow Excess Material Transfer,السماح بنقل المواد الزائدة
Allow existing Serial No to be Manufactured/Received again,السماح بتصنيع/استلام الرقم التسلسلي الحالي مرة أخرى
Allow Geolocation Tracking,السماح بتتبع تحديد الموقع الجغرافي
Allow Google Calendar Access,السماح بالوصول إلى تقويم Google
Allow Google Contacts Access,السماح بوصول جهات اتصال Google
Allow Google Drive Access,تسمح جوجل محرك الوصول
Allow Guest,اسمح للضيف
Allow Guest to comment,السماح للضيوف بالتعليق
Allow Guest to View,السماح للزائر بالعرض
Allow Guests to Upload Files,السماح للضيوف بتحميل الملفات
Allow Implicit Pegged Currency Conversion,Allow Implicit Pegged Currency Conversion
Allow Implicit Pegged Currency Conversion,السماح بتحويل العملة الضمني
Allow Import (via Data Import Tool),السماح بالاستيراد (عبر أداة استيراد البيانات)
Allow in Quick Entry,السماح لأدخال سريع
Allow In Returns,السماح في المرتجعات
Allow Incomplete Forms,السماح للنماذج الغير مكتمله
Allow Incomplete Forms,السماح للنماذج الغير مكتمله
Allow incomplete forms,السماح بالنماذج غير المكتملة
Allow Internal Transfers at Arm's Length Price,السماح بالتحويلات الداخلية بسعر السوق
Allow Item Discount,السماح بخصم المنتج
Allow Item to be Added Multiple Times in a Transaction,السماح بإضافة الصنف أكثر من مرة في نفس المعاملة
Allow Item To Be Added Multiple Times in a Transaction,السماح بإضافة العنصر عدة مرات في المعاملة
Allow Item to Be Added Multiple Times in a Transaction,السماح بإضافة العنصر عدة مرات في المعاملة
Allow items not in stock to be added to cart,السماح بإضافة العناصر غير الموجودة في المخزن إلى السلة
Allow Lead Duplication based on Emails,السماح بتكرار العملاء المحتملين بناءً على رسائل البريد الإلكتروني
Allow Leave Application After (Working Days),السماح بطلب الإجازة بعد (أيام العمل)
Allow Login After Fail,السماح بتسجيل الدخول بعد الفشل
Allow Login using Mobile Number,السماح بتسجيل الدخول باستخدام رقم الجوال
Allow Login using User Name,السماح بتسجيل الدخول باستخدام اسم المستخدم
Allow material consumptions without immediately manufacturing finished goods against a Work Order,السماح باستهلاك المواد دون تصنيع السلع النهائية فورًا بموجب أمر العمل
Allow Material Transfer from Delivery Note to Sales Invoice,السماح بنقل المواد من مذكرة التسليم إلى فاتورة المبيعات
Allow Material Transfer from Purchase Receipt to Purchase Invoice,السماح بنقل المواد من إيصال الشراء إلى فاتورة الشراء
Allow Modules,تفعيل الموديولات
Allow Monthly Depreciation,السماح للاستهلاك الشهري
Allow multi-currency invoices against single party account,السماح بفواتير متعددة العملات مقابل حساب طرف واحد
Allow Multiple Material Consumption,السماح باستهلاك المواد المتعددة
Allow multiple material consumptions against a Work Order,السماح باستهلاكات متعددة للمواد مقابل طلب العمل
Allow Multiple Responses,Allow Multiple Responses
Allow Multiple Responses,Allow Multiple Responses
Allow multiple responses,السماح بردود متعددة
Allow Multiple Sales Orders Against a Customer's Purchase Order,السماح بأوامر مبيعات متعددة مقابل طلب الشراء الخاص بالعميل
Allow Multiple Shift Assignments for Same Date,السماح بمهام التحول المتعددة لنفس التاريخ
